nama,no_telp,alamat,latitude,longitude,kategori_1,kategori_2,kategori_3,kategori_4,kategori_5,id
Lavanderia,081234567891,"Jl. Boulevard No.28 f, Masale, Panakkukang, Makassar City, South Sulawesi 90231",0.19901339719707,0.9935514126702385,0,1,0,1,1,1
LaundrySaja,081234567891,"Jl. Kakatua No.30, Mariso, Makassar City, South Sulawesi 90122",0.19850542858652614,0.9922529379046887,0,1,1,1,1,2
Zap Laundry,081234567891,"Di Dalam SPBU Pintu 1 Unhas, Jl. Perintis Kemerdekaan KM.10 No.55, Tamalanrea Jaya, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245",0.2002508355151673,0.9958827336530769,1,0,1,1,1,3
QnC Laundry Toddopuli,081234567891,"Jl. Toddopuli Raya No.8, Kassi-Kassi, Rappocini, Makassar City, South Sulawesi 90222",0.1979977314234051,0.9939726788469763,0,0,0,1,0,4
Laundromad Makassar,081234567891,"Jl. Bumi Tamalanrea Permai No.1A, Tamalanrea, Makassar City, South Sulawesi 90245",0.20115430302073928,0.9964010169724187,1,1,1,1,1,5
Bintang Laundry,081234567891,"Jalan Sunu Kompleks Unhas Blok PX No.23A, Lembo, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90213",0.20179763341278895,0.9929127880279891,0,1,1,1,0,6
Mawangi Laundry,081234567891,"Jl. Racing Centre Jl. Btn Tonasa No.9, Karampuang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",0.20025011165537315,0.9940733210155583,1,0,0,0,0,7
Laundry Bar,081234567891,"Jl. Masjid Raya No.168 C, Malimongan Baru, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90152",0.20103785207635555,0.9929213736158298,0,1,0,0,1,8
Upperbest Laundry Care,081234567891,"Jl. Lanto Dg. Pasewang No.18, South Maricaya, Makassar, Makassar City, South Sulawesi 90142",0.19931099405493946,0.9925697937937361,1,1,1,1,1,9
Madani Laundry karpet sofa springbed,081234567891,"Sudiang, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90242",0.20575642262698846,0.9977280149686862,0,0,0,1,0,10
Mika Laundry,081234567891,"Jl. Beruang No.29, Bonto Biraeng, Mamajang, Makassar City, South Sulawesi 90132",0.19882474123821997,0.9925791425449413,1,1,1,0,1,11
Momyba Laundry,081234567891,"Jl. Pongtiku No.131A, Kalukuang, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90152",0.20141787846828363,0.9930751510336071,0,0,0,1,1,12
Edwash Premiun Laundry Service,081234567891,"Jl. Lamaddukelleng No.52a, Losari, Ujung Pandang, Makassar City, South Sulawesi 90113",0.19988537680159651,0.9921433762642939,1,1,0,0,1,13
Wazzme Laundry Makassar,081234567891,"Ruko Rio Grande, Green River View No.20, Barombong, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90225",0.19488495334361688,0.9913215924147671,0,1,1,1,1,14
Fixs Laundry Makassar,081234567891,"Jl. Bonto Bila 9 No.8, Batua, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90233",0.19918459003838623,0.9946085370220326,0,1,1,1,0,15
LAUNDRY KILOAN ANTAR JEMPUT,081234567891,"Jalan BUDI DAYA 3, Komp. Unhas Jl. Antang Raya No.33, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90235",0.19786273157179635,0.9954888459620097,0,1,1,1,1,16
